date,experiment,target,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
220816,exptREF,Wuhan_Hu_1,lib12,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/WH1_lib1_ref1_S70_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/WH1_lib1_ref2_S71_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/WH1_lib1_ref3_S72_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/WH1_lib1_ref4_S73_R1_001.fastq.gz
220816,exptREF,Wuhan_Hu_1,lib13,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/WH1_lib2_ref1_S74_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/WH1_lib2_ref2_S75_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/WH1_lib2_ref3_S76_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/220504_VH00319_203_AAAYKKMM5/Unaligned/Project_tstarr/WH1_lib2_ref4_S77_R1_001.fastq.gz
220816,expt2,Wuhan_Hu_1,lib12,268C3,352,abneg,escape,expt2-268C3-352-abneg,,195056,0.055,/shared/ngs/illumina/tstarr/220824_VH00699_190_AAC5MW3M5/Unaligned/Project_tstarr/expt2_lib1_S3_R1_001.fastq.gz
220816,expt2,Wuhan_Hu_1,lib13,268C3,352,abneg,escape,expt2-268C3-352-abneg,,198944,0.058,/shared/ngs/illumina/tstarr/220824_VH00699_190_AAC5MW3M5/Unaligned/Project_tstarr/expt2_lib2_S4_R1_001.fastq.gz
220816,expt3,Wuhan_Hu_1,lib12,268C13,796,abneg,escape,expt3-268C13-796-abneg,,509000,0.141,/shared/ngs/illumina/tstarr/220824_VH00699_190_AAC5MW3M5/Unaligned/Project_tstarr/expt3_lib1_S5_R1_001.fastq.gz
220816,expt3,Wuhan_Hu_1,lib13,268C13,796,abneg,escape,expt3-268C13-796-abneg,,510290,0.146,/shared/ngs/illumina/tstarr/220824_VH00699_190_AAC5MW3M5/Unaligned/Project_tstarr/expt3_lib2_S6_R1_001.fastq.gz
220816,expt4,Wuhan_Hu_1,lib12,268C61,147,abneg,escape,expt4-268C61-147-abneg,,189167,0.054,/shared/ngs/illumina/tstarr/220824_VH00699_190_AAC5MW3M5/Unaligned/Project_tstarr/expt4_lib1_S7_R1_001.fastq.gz
220816,expt4,Wuhan_Hu_1,lib13,268C61,147,abneg,escape,expt4-268C61-147-abneg,,133696,0.06,/shared/ngs/illumina/tstarr/220824_VH00699_190_AAC5MW3M5/Unaligned/Project_tstarr/expt4_lib2_S8_R1_001.fastq.gz
